====================
cinema  |  Oscar cinema
bank  |  УкрСоцБанк
bank  |  Piraeus Bank
clinic  |  Поліклініка №1 Дніпровського району
doctors  |  Лабораторія УЛДЦ
cafe  |  Чайна
pub  |  Веселий Роджер
pub  |  Барсук
cafe  |  Тинатин
post_office  |  Укрпошта
pub  |  Тортуга
atm  |  ПриватБанк
cafe  |  Дім Кави
cafe  |  Віденські булочки
fuel  |  АЗС Бєлнафта
pub  |  БН Клуб
nightclub  |  Мир Show
bank  |  ОТП Банк
bank  |  ПриватБанк
pub  |  Блиндаж
pub  |  Портер Паб
restaurant  |  Закарпатська Колиба
bank  |  OTP Bank
cafe  |  КофеХаус
fast_food  |  Два Гуся
bank  |  ЧБРР
post_office  |  Укрпошта №154
pharmacy  |  Аптека
dentist  |  Dental City
bank  |  ПриватБанк
pharmacy  |  Фармація
pub  |  Пиваріум
pharmacy  |  TAS №143
cafe  |  Софія
pub  |  Натюрліх
fast_food  |  Київська перепічка
arts_centre  |  PinchukArtCentre
fuel  |  WOG
restaurant  |  Ресторан "Одеса"
fuel  |  УкрАвтоГаз
post_office  |  Нова Пошта №49
bank  |  OTP Bank
bar  |  Tapas Etno Bar
pharmacy  |  Фармація
cinema  |  Флоренція
pharmacy  |  Фалбі
cafe  |  Гольфстрим
water_point  |  Бювет
restaurant  |  Mafia
fuel  |  КЛО
fuel  |  Авіас
atm  |  ПриватБанк
dentist  |  Клініка доктора Захаренко
restaurant  |  Причал 47
pub  |  Мозайка
fuel  |  ОККО
cafe  |  Кав'ярня
pharmacy  |  TAS
pub  |  Патрик
bank  |  Ощадбанк
ranger_station  |  Бориспільский лісгосп
water_point  |  Бювет
bank  |  Ощадбанк
atm  |  ЕкспоБанк
atm  |  ПриватБанк
university  |  Міжнародний центр електронно-променевих технологій
dentist  |  Мілдент
pharmacy  |  City Pharm
atm  |  Ощадбанк
restaurant  |  Хлібний
dentist  |  Anna-dent
townhall  |  НДП
restaurant  |  Баку
police  |  Територіальний відділ міліції №3
bank  |  УкрСиббанк
pharmacy  |  Фармація
pharmacy  |  Мед Сервіс
clinic  |  Поліклініка для дорослих «Добробут»
hospital  |  Невідкладна допомога «Добробут»
clinic  |  Добробут
pharmacy  |  Аптека оптових ц...
office  |  Инвестиционная группа Инициатива
atm  |  ПриватБанк
cafe  |  Калина
fast_food  |  Cosa Nostra
bank  |  ПриватБанк
bank  |  Укргазбанк
bank  |  Ощадбанк
recycling  |  Комплексний пункт прийому вторинної сировини
bank  |  Промінвестбанк
bank  |  Ощадбанк
bank  |  Зембанк
courthouse  |  Вишгородський районний суд
pharmacy  |  Аптека "Домашня аптечка"
pharmacy  |  City Pharm
restaurant  |  Керама мама
pharmacy  |  Нова аптека
cafe  |  Aroma kava
atm  |  ПриватБанк
bank  |  Укрсоцбанк
bank  |  Ukrsibbank
cinema  |  Перун
clinic  |  Центр реабілітації інвалідів
bank  |  Глобус Банк
bar  |  Kyiv City pub
clinic  |  Медична Мобільна Клініка
atm  |  Райффайзен Банк
fast_food  |  Шкварочка
post_office  |  Укрпошта
bank  |  ОТП Банк
post_office  |  Київ 81
restaurant  |  Guramma
cafe  |  Гага
restaurant  |  Аркада
pharmacy  |  Медтрейд
pharmacy  |  Лекфарм
restaurant  |  Döner Casual Restaurant
bank  |  Укргазбанк
arts_centre  |  Центр технічної творчості "Юність"
fast_food  |  Італідзе
clinic  |  Новий зір
cafe  |  Вернісаж
bank  |  ProCredit Bank
bank  |  Ощадбанк
fuel  |  БРСМ
restaurant  |  Aquarius
pharmacy  |  Аптека гормональних препаратів
bank  |  ПриватБанк
atm  |  ПриватБанк
atm  |  BG Bank
dentist  |  Твій Стоматолог
bank  |  Укргазбанк
fuel  |  ОККО
pharmacy  |  Доброго дня
pharmacy  |  Країна здоров'я
place_of_worship  |  Храм Почаївської Ікони Божої Матері
bank  |  Піреус Банк
pharmacy  |  Країна здоров'я
drinking_water  |  Бювет
atm  |  ПриватБанк
post_office  |  Укрпошта 02160
bank  |  УкрСиббанк
pharmacy  |  Доброго дня
fast_food  |  Пузата Хата
bank  |  Monobank
pharmacy  |  Сіріус 95
pharmacy  |  Фармація
bar  |  Піцерія Grand
atm  |  ПриватБанк
bank  |  ПриватБанк
social_facility  |  Ceragem
clinic  |  Into-Sana
pharmacy  |  36,6
restaurant  |  Ti-Art
dentist  |  Стоматологічна поліклініка
drinking_water  |  Бювет
fuel  |  Glusco
veterinary  |  Cats Care Vet
atm  |  ПриватБанк
pub  |  Бані є Бані
bank  |  KredoBank
atm  |  ПриватБанк
pharmacy  |  Аптекар
library  |  Дитяча бібліотека
atm  |  Райффайзен Банк
atm  |  ПриватБанк
fuel  |  WOG
pub  |  Шерлок
cafe  |  7 паб
place_of_worship  |  Живі камені
cafe  |  Сіті
water_point  |  Бювет
cinema  |  Кадр
atm  |  UniCreditBank
pharmacy  |  Подорожник
pub  |  Кафе
dentist  |  Професорська стоматологія
atm  |  ПриватБанк
atm  |  Правексбанк
pharmacy  |  Аптека №102 "Фармация"
restaurant  |  Yak на крилах
community_centre  |  Підлітковий клуб Гном
